,country,industry,marketcap,price,sector,avgvol
2807,USA,Biotechnology,117,4.06,Healthcare,1050
3144,Canada,Industrial Metals & Minerals,519,2.33,Basic Materials,1050
176,USA,Paper & Paper Products,6738,44.15,Consumer Goods,1040
594,USA,Electric Utilities,6573,32.91,Utilities,1040
1386,USA,REIT - Healthcare Facilities,4501,19.15,Financial,1040
1655,USA,Biotechnology,700,15.85,Healthcare,1040
2401,USA,Sporting Goods Stores,164,7.6,Services,1040
3011,USA,Home Health Care,371,2.91,Healthcare,1040
3423,Canada,Biotechnology,24,1.09,Healthcare,1040
22,USA,Credit Services,6593,49.23,Financial,1030
432,USA,REIT - Diversified,7854,37,Financial,1030
555,Bermuda,Surety & Title Insurance,3991,33.87,Financial,1030
1415,USA,Medical Instruments & Supplies,1138,18.86,Healthcare,1030
1578,USA,Waste Management,2208,16.9,Industrial Goods,1030
1930,USA,Industrial Equipment & Components,2003,12.53,Industrial Goods,1030
78,USA,Copper,36879,47.45,Basic Materials,1020
1524,USA,Hospitals,2355,17.65,Healthcare,1020
2230,USA,REIT - Residential,430,9.28,Financial,1020
479,USA,Credit Services,2029,35.65,Financial,1010
951,USA,Credit Services,3507,25.99,Financial,1010
1682,USA,CATV Systems,1932,15.6,Services,1010
3402,USA,Biotechnology,34,1.16,Healthcare,1010
288,USA,Scientific & Technical Instruments,10281,40.64,Technology,1000
512,USA,Healthcare Information Services,1989,34.85,Technology,1000
647,USA,Biotechnology,1379,31.77,Healthcare,1000
1123,Argentina,Major Integrated Oil & Gas,8983,22.91,Basic Materials,1000
1161,USA,Medical Appliances & Equipment,2353,22.2,Healthcare,1000
1455,USA,REIT - Diversified,1974,18.45,Financial,1000
1488,USA,Drug Manufacturers - Major,949,18.1,Healthcare,1000
1672,USA,Printed Circuit Boards,1639,15.67,Technology,1000
1815,USA,"Specialty Retail, Other",1669,13.95,Services,1000
2707,USA,Oil & Gas Equipment & Services,267,4.66,Basic Materials,1000
712,USA,Business Software & Services,2633,30.45,Technology,990
2048,USA,General Building Materials,718,11.1,Industrial Goods,990
2504,USA,Biotechnology,314,6.6,Healthcare,990
372,USA,Networking & Communication Devices,1434,38.5,Technology,980
607,USA,Semiconductor - Broad Line,2095,32.54,Technology,980
1064,USA,Semiconductor Equipment & Materials,1684,23.85,Technology,980
2603,USA,Asset Management,1250,5.66,Financial,980
3461,USA,Drug Manufacturers - Other,142,0.92,Healthcare,980
3595,USA,Medical Instruments & Supplies,2,0.13,Healthcare,980
34,Canada,Oil & Gas Pipelines,42754,48.64,Basic Materials,970
567,UnitedKingdom,Application Software,7147,33.59,Technology,970
666,USA,Home Improvement Stores,900,31.39,Services,970
1569,USA,Surety & Title Insurance,1039,17,Financial,970
1794,USA,Semiconductor- Memory Chips,1570,14.22,Technology,970
2017,USA,Biotechnology,739,11.45,Healthcare,970
42,USA,Regional - Southeast Banks,6181,48.45,Financial,960
321,USA,Rental & Leasing Services,2841,39.85,Services,960
520,USA,Sporting Activities,3407,34.63,Services,960
2955,USA,Biotechnology,196,3.25,Healthcare,960
3445,USA,Diversified Communication Services,7,1.02,Technology,960
649,Bermuda,Business Services,6162,31.74,Services,950
1308,USA,Medical Appliances & Equipment,1801,20.2,Healthcare,950
1627,USA,Education & Training Services,1782,16.32,Services,950
2199,USA,Biotechnology,697,9.62,Healthcare,950
3072,USA,Biotechnology,71,2.61,Healthcare,950
3138,Bermuda,Shipping,989,2.36,Services,950
3297,USA,Credit Services,6,1.58,Financial,950
3603,USA,Biotechnology,3,0.07,Healthcare,950
909,USA,REIT - Diversified,4310,26.66,Financial,940
2340,Canada,Communication Equipment,991,8.23,Technology,940
2686,USA,Credit Services,700,4.89,Financial,940
283,USA,Regional - Mid-Atlantic Banks,4351,40.72,Financial,930
552,USA,Diversified Machinery,6696,33.93,Industrial Goods,930
710,USA,Semiconductor Equipment & Materials,4278,30.45,Technology,930
720,USA,Oil & Gas Pipelines,2356,30.2,Basic Materials,930
948,USA,Diversified Machinery,2746,26.02,Industrial Goods,930
1577,UnitedKingdom,Processed & Packaged Goods,2897,16.91,Consumer Goods,930
1758,Bermuda,Property & Casualty Insurance,1574,14.65,Financial,930
1797,USA,Application Software,1558,14.19,Technology,930
2293,Japan,Foreign Regional Banks,60351,8.69,Financial,930
3337,UnitedKingdom,Application Software,45,1.4,Technology,930
3438,Greece,Shipping,39,1.04,Services,930
71,USA,Home Furnishings & Fixtures,6336,47.73,Consumer Goods,920
151,Japan,Electronic Equipment,56593,44.95,Consumer Goods,920
187,USA,REIT - Residential,6858,43.71,Financial,920
535,USA,REIT - Office,5309,34.25,Financial,920
1684,USA,Oil & Gas Equipment & Services,1687,15.55,Basic Materials,920
2170,Canada,Oil & Gas Drilling & Exploration,2389,9.79,Basic Materials,920
2871,USA,Medical Appliances & Equipment,20,3.75,Healthcare,920
2883,USA,Biotechnology,251,3.68,Healthcare,920
2961,Greece,Shipping,60,3.22,Services,920
3112,USA,Semiconductor Equipment & Materials,208,2.41,Technology,920
1329,USA,REIT - Retail,2179,19.95,Financial,910
1449,USA,REIT - Diversified,3453,18.48,Financial,910
1460,USA,"Specialty Retail, Other",514,18.45,Services,910
2228,USA,Education & Training Services,1184,9.3,Services,910
2844,USA,Biotechnology,187,3.9,Healthcare,910
3562,USA,Major Integrated Oil & Gas,5,0.32,Basic Materials,910
1328,USA,Computer Peripherals,1082,19.96,Technology,900
1393,USA,Closed-End Fund - Equity,2183,19.05,Financial,900
1582,USA,Specialty Chemicals,700,16.85,Basic Materials,900
1678,SouthKorea,Telecom Services - Foreign,7504,15.61,Technology,900
2070,USA,Biotechnology,474,10.74,Healthcare,900
2284,Canada,Silver,1043,8.79,Basic Materials,900
2517,Taiwan,Semiconductor Equipment & Materials,11107,6.48,Technology,900
2577,USA,Semiconductor - Specialized,634,5.9,Technology,900
3068,USA,Biotechnology,329,2.64,Healthcare,900
3091,USA,Business Services,40,2.53,Services,900
428,USA,Technical Services,5828,37.15,Services,890
530,USA,Research Services,2380,34.35,Services,890
978,USA,Regional - Midwest Banks,3840,25.4,Financial,890
1082,USA,Diversified Machinery,3272,23.51,Industrial Goods,890
1083,USA,Business Services,2221,23.5,Services,890
1450,USA,Drugs - Generic,591,18.46,Healthcare,890
2140,USA,Semiconductor - Integrated Circuits,2408,10.05,Technology,890
3096,USA,Asset Management,1332,2.5,Financial,890
3311,USA,Biotechnology,35,1.49,Healthcare,890
3532,USA,Biotechnology,66,0.51,Healthcare,890
273,USA,Drugs - Generic,5487,41.08,Healthcare,880
572,USA,Diversified Investments,6412,33.47,Financial,880
583,USA,Resorts & Casinos,2550,33.15,Services,880
772,USA,REIT - Office,3167,29.2,Financial,880
1366,USA,Biotechnology,930,19.43,Healthcare,880
1816,USA,Sporting Goods,1330,13.93,Consumer Goods,880
1957,USA,Telecom Services - Domestic,862,12.19,Technology,880
2041,Chile,Electric Utilities,12779,11.17,Utilities,880
3475,USA,Mortgage Investment,32,0.84,Financial,880
3530,USA,Biotechnology,22,0.52,Healthcare,880
199,Bermuda,Mortgage Investment,4357,43.42,Financial,870
278,USA,Internet Information Providers,5030,40.92,Technology,870
1100,USA,Marketing Services,3231,23.2,Services,870
1814,USA,Drugs - Generic,1058,13.95,Healthcare,870
1861,Canada,Asset Management,3384,13.4,Financial,870
2313,USA,Semiconductor Equipment & Materials,598,8.52,Technology,870
3044,USA,Business Services,371,2.73,Services,870
3240,USA,Biotechnology,211,1.81,Healthcare,870
3317,USA,Medical Appliances & Equipment,32,1.48,Healthcare,870
248,USA,Asset Management,3863,41.98,Financial,860
335,USA,Electronics Wholesale,4823,39.62,Services,860
1099,USA,Drugs - Generic,904,23.2,Healthcare,860
1357,Netherlands,Biotechnology,577,19.59,Healthcare,860
1989,USA,Diversified Communication Services,1157,11.8,Technology,860
2195,USA,REIT - Diversified,2334,9.65,Financial,860
2218,USA,"Recreational Goods, Other",716,9.43,Consumer Goods,860
2545,USA,REIT - Residential,691,6.17,Financial,860
3369,China,Oil & Gas Equipment & Services,13,1.3,Basic Materials,860
3453,USA,Oil & Gas Equipment & Services,142,1,Basic Materials,860
3486,USA,Industrial Electrical Equipment,36,0.77,Industrial Goods,860
3554,USA,Diversified Communication Services,14,0.36,Technology,860
275,USA,REIT - Residential,5587,41.03,Financial,850
363,USA,Trucking,2750,38.65,Services,850
1130,USA,Paper & Paper Products,2193,22.69,Consumer Goods,850
1873,USA,Diagnostic Substances,477,13.25,Healthcare,850
3292,USA,Biotechnology,95,1.6,Healthcare,850
3503,Israel,Application Software,12,0.65,Technology,850
45,USA,Machine Tools & Accessories,3952,48.41,Industrial Goods,840
93,Bermuda,Property & Casualty Insurance,3711,46.92,Financial,840
227,USA,Broadcasting - TV,3705,42.47,Services,840
291,USA,Business Software & Services,8326,40.48,Technology,840
558,USA,Application Software,3454,33.84,Technology,840
1104,Canada,Entertainment - Diversified,1559,23.15,Services,840
1124,USA,Asset Management,7796,22.9,Financial,840
1333,UnitedKingdom,CATV Systems,2404,19.89,Services,840
1361,USA,Investment Brokerage - Regional,511,19.5,Financial,840
1839,USA,REIT - Diversified,1512,13.63,Financial,840
3132,USA,Independent Oil & Gas,589,2.36,Basic Materials,840
209,USA,REIT - Diversified,6489,43.13,Financial,830
383,USA,Management Services,5552,38.13,Services,830
587,USA,Restaurants,3448,33.1,Services,830
867,USA,Restaurants,1079,27.48,Services,830
1020,USA,Accident & Health Insurance,4165,24.69,Financial,830
1140,USA,REIT - Diversified,2660,22.5,Financial,830
1756,USA,Communication Equipment,1330,14.66,Technology,830
1835,USA,Business Software & Services,1003,13.65,Technology,830
2122,USA,Oil & Gas Equipment & Services,276,10.18,Basic Materials,830
2571,USA,Biotechnology,422,5.95,Healthcare,830
2989,USA,Biotechnology,126,3.07,Healthcare,830
3133,USA,Business Services,36,2.36,Services,830
3509,China,Semiconductor - Specialized,46,0.64,Technology,830
3518,USA,Chemicals - Major Diversified,13,0.59,Basic Materials,830
1200,USA,Trucks & Other Vehicles,1272,21.7,Consumer Goods,820
1850,USA,Oil & Gas Equipment & Services,476,13.47,Basic Materials,820
1951,USA,Biotechnology,411,12.24,Healthcare,820
2349,USA,Biotechnology,437,8.15,Healthcare,820
2451,USA,Broadcasting - TV,644,7.15,Services,820
31,USA,Biotechnology,3123,48.68,Healthcare,810
689,USA,Chemicals - Major Diversified,4411,30.96,Basic Materials,810
829,USA,Oil & Gas Equipment & Services,1462,28.3,Basic Materials,810
1102,USA,Application Software,352,23.2,Technology,810
1148,USA,Oil & Gas Pipelines,2738,22.35,Basic Materials,810
1355,USA,REIT - Office,2888,19.61,Financial,810
1380,USA,Biotechnology,791,19.22,Healthcare,810
1506,USA,Regional - Northeast Banks,3166,17.9,Financial,810
1576,USA,Oil & Gas Equipment & Services,1599,16.92,Basic Materials,810
3548,USA,Gold,17,0.39,Basic Materials,810
18,USA,Specialized Health Services,4850,49.41,Healthcare,800
657,USA,Textile - Apparel Clothing,3383,31.56,Consumer Goods,800
1745,USA,Semiconductor Equipment & Materials,710,14.85,Technology,800
1975,USA,Diversified Utilities,1804,11.96,Utilities,800
2234,USA,Medical Appliances & Equipment,627,9.26,Healthcare,800
2934,USA,Biotechnology,386,3.38,Healthcare,800
336,USA,Diversified Machinery,4912,39.62,Industrial Goods,790
641,USA,Textile - Apparel Footwear & Accessories,3054,31.88,Consumer Goods,790
898,USA,General Building Materials,5212,26.88,Industrial Goods,790
1662,USA,Gold,3297,15.78,Basic Materials,790
1831,SouthKorea,Diversified Electronics,9778,13.76,Technology,790
2484,China,Auto Manufacturers - Major,332,6.8,Consumer Goods,790
2784,Taiwan,Semiconductor - Broad Line,3914,4.16,Technology,790
2966,USA,Biotechnology,75,3.2,Healthcare,790
3107,Canada,Copper,729,2.44,Basic Materials,790
20,USA,Food Wholesale,2477,49.27,Services,780
129,USA,Electric Utilities,4063,45.58,Utilities,780
624,USA,REIT - Diversified,3382,32.18,Financial,780
661,USA,REIT - Industrial,3743,31.47,Financial,780
1215,USA,Biotechnology,1010,21.45,Healthcare,780
1534,USA,Regional - Midwest Banks,2392,17.45,Financial,780
2229,USA,Business Services,661,9.3,Services,780
3448,USA,Medical Appliances & Equipment,206,1.01,Healthcare,780
8,USA,Oil & Gas Pipelines,7197,49.55,Basic Materials,770
91,USA,Scientific & Technical Instruments,2944,46.95,Technology,770
599,USA,Resorts & Casinos,1904,32.73,Services,770
678,USA,Aerospace/Defense - Major Diversified,2354,31.2,Industrial Goods,770
2179,USA,Oil & Gas Drilling & Exploration,2205,9.74,Basic Materials,770
3020,USA,Biotechnology,116,2.84,Healthcare,770
